gene_name,chrom,tss,strand
KCNH6,chr17,63523334,+
EFCAB7,chr1,63523372,+
PTK6,chr20,63537376,-
PLAAT4,chr11,63536808,+
SRMS,chr20,63547749,-
SERPINB12,chr18,63542369,+
FNDC11,chr20,63547891,+
DCAF7,chr17,63550477,+
ENSG00000288894,chr17,63550603,+
PLAAT2,chr11,63563379,-
HELZ2,chr20,63574239,-
DPY19L2,chr12,63668849,-
ENSG00000285976,chr6,63572480,+
PLAAT3,chr11,63616883,-
SERPINB13,chr18,63586989,+
GMEB2,chr20,63627101,-
MDH1,chr2,63588609,+
PGM1,chr1,63593411,+
WDR89,chr14,63641871,-
FBXL22,chr15,63597353,+
TACO1,chr17,63600895,+
HERC1,chr15,63833948,-
MAP3K3,chr17,63622415,+
ATL3,chr11,63671921,-
ARHGEF9,chrX,63809274,-
PHF3,chr6,63635802,+
SERPINB4,chr18,63644256,-
STMN3,chr20,63657682,-
SERPINB11,chr18,63647579,+
SNTN,chr3,63652675,+
SERPINB3,chr18,63661893,-
RTEL1,chr20,63657810,+
RTEL1-TNFRSF6B,chr20,63689766,+
RTN3,chr11,63681446,+
STRADA,chr17,63741986,-
SGPP1,chr14,63728065,-
LIMD2,chr17,63701172,-
TNFRSF6B,chr20,63696652,+
ARFRP1,chr20,63708025,-
ENSG00000125695,chr17,63752097,-
ZGPAT,chr20,63707465,+
ENSG00000273154,chr20,63733219,+
EYS,chr6,65707226,-
LIME1,chr20,63736283,+
ENSG00000273047,chr20,63738270,+
SLC2A4RG,chr20,63739776,+
ZBTB46,chr20,63831264,-
CCDC47,chr17,63776351,-
ENSG00000237378,chr13,63746741,+
SERPINB7,chr18,63752935,+
ENSG00000288661,chrX,63754664,-
ZFTA,chr11,63768775,-
SYNE2,chr14,63761899,+
DDX42,chr17,63773603,+
ROR1,chr1,63774017,+
RXYLT1,chr12,63779909,+
SPINDOC,chr11,63813456,+
C3orf49,chr3,63819299,+
FTSJ3,chr17,63830012,-
PSMC5,chr17,63827152,+
SMARCD2,chr17,63843065,-
ENSG00000285566,chr13,63833053,-
THOC7,chr3,63863868,-
MARK2,chr11,63838928,+
UGP2,chr2,63840954,+
SRGAP1,chr12,63843761,+
ABHD16B,chr20,63861498,+
ATXN7,chr3,63863155,+
TPD52L2,chr20,63865228,+
SERPINB2,chr18,63871692,+
CSH2,chr17,63873766,-
GH2,chr17,63881944,-
VPS54,chr2,64019428,-
CSH1,chr17,63896661,-
DNAJC5,chr20,63895126,+
ENSG00000289724,chr18,63897174,+
DAPK2,chr15,64072033,-
SERPINB10,chr18,63907958,+
CSHL1,chr17,63911341,-
RCOR2,chr11,63917164,-
GH1,chr17,63918839,-
ENSG00000285947,chr17,63931385,-
CD79B,chr17,63932336,-
SCN4A,chr17,63972918,-
NAA40,chr11,63938994,+
UCKL1,chr20,63956416,-
HMSD,chr18,63949301,+
ZNF512B,chr20,63969930,-
HTR1A,chr5,63962507,-
SERPINB8,chr18,63970029,+
SAMD10,chr20,63980008,-
COX8A,chr11,63974620,+
PRPF6,chr20,63981132,+
OTUB1,chr11,63985997,+
PRR29,chr17,63998351,+
MACROD1,chr11,64166113,-
ZNF722,chr7,63998849,+
ICAM2,chr17,64020634,-
PSMD6,chr3,64024010,-
C20orf204,chr20,64036182,+
FLRT1,chr11,64035931,+
ERN1,chr17,64130819,-
ZNF727,chr7,64045429,+
SOX18,chr20,64049639,-
TCEA2,chr20,64049836,+
CIAO2A,chr15,64094262,-
RGS19,chr20,64079988,-
OPRL1,chr20,64080082,+
LKAAEAR1,chr20,64084398,-
ESR2,chr14,64338112,-
PRICKLE2,chr3,64445476,-
PELI1,chr2,64144420,-
SNX1,chr15,64094123,+
MYT1,chr20,64102394,+
NPBWR2,chr20,64107565,-
TEX2,chr17,64263260,-
SNX22,chr15,64151731,+
PPIB,chr15,64163026,-
CSNK1G1,chr15,64356173,-
RNF180,chr5,64165843,+
ENSG00000259316,chr15,64381440,-
AMER1,chrX,64205708,-
STIP1,chr11,64185272,+
KICS2,chr12,64222296,-
UBE2U,chr1,64203623,+
FERMT3,chr11,64205926,+
ZNF735,chr7,64207203,+
TRPT1,chr11,64226254,-
ASB12,chrX,64230607,-
NUDT22,chr11,64225941,+
ZNF679,chr7,64228474,+
DNAJC4,chr11,64230278,+
VEGFB,chr11,64234584,+
FKBP2,chr11,64241095,+
ENSG00000286264,chr11,64241095,+
PPP1R14B,chr11,64246943,-
PLCB3,chr11,64251530,+
PCMTD2,chr20,64255741,+
C12orf56,chr12,64390758,-
MTMR8,chrX,64395452,-
BAD,chr11,64284665,-
GPR137,chr11,64270062,+
TECRL,chr4,64409468,-
KCNK4,chr11,64291302,+
CATSPERZ,chr11,64300358,+
ESRRA,chr11,64305497,+
ZNF736,chr7,64307459,+
TRMT112,chr11,64318074,-
PRDX5,chr11,64318121,+
PECAM1,chr17,64413776,-
CCDC88B,chr11,64340204,+
RPS6KA4,chr11,64359148,+
PCLAF,chr15,64387687,-
TRIP4,chr15,64387748,+
MTHFD1,chr14,64388031,+
XPOT,chr12,64404392,+
MILR1,chr17,64449037,+
ZBTB25,chr14,64505213,-
TBK1,chr12,64452090,+
LGALSL,chr2,64453969,+
ZNF609,chr15,64460578,+
AKAP5,chr14,64465499,+
CACHD1,chr1,64470129,+
POLG2,chr17,64497054,-
DDX5,chr17,64508199,-
ZBTB1,chr14,64503712,+
RGS7BP,chr5,64506015,+
CEP95,chr17,64506975,+
RASSF3,chr12,64507001,+
ADAMTS9,chr3,64688000,-
ZNF680,chr7,64563075,-
AFTPH,chr2,64524299,+
HSPA2,chr14,64535905,+
SMURF2,chr17,64662307,-
PPP1R36,chr14,64549961,+
SLC22A11,chr11,64555690,+
BHLHE22,chr8,64580365,+
CYP7B1,chr8,64798737,-
SLC22A12,chr11,64590641,+
NRXN2,chr11,64723197,-
SERTAD2,chr2,64751005,-
ZNF107,chr7,64666130,+
OAZ2,chr15,64703281,-
SHISAL2B,chr5,64690503,+
PLEKHG3,chr14,64704102,+
GNS,chr12,64759431,-
SREK1IP1,chr5,64768691,-
RASGRP2,chr11,64745456,-
RBPMS2,chr15,64775589,-
RAVER2,chr1,64745075,+
SPTB,chr14,64879907,-
PYGM,chr11,64759974,-
TBC1D30,chr12,64759484,+
ENSG00000288591,chr12,64759496,+
SF1,chr11,64778786,-
CWC27,chr5,64766368,+
MAP4K2,chr11,64803241,-
ZNF138,chr7,64794388,+
MEN1,chr11,64811294,-
PIF1,chr15,64825668,-
CDC42BPG,chr11,64844653,-
JAK1,chr1,65067754,-
PLEKHO2,chr15,64841883,+
ENSG00000249240,chr15,64841948,+
EHD1,chr11,64888296,-
LRRC37A3,chr17,64919480,-
ZNF273,chr7,64870172,+
ATG2A,chr11,64917209,-
ANKDD1A,chr15,64911902,+
CHURC1,chr14,64914361,+
CHURC1-FNTB,chr14,64914493,+
ZC4H2,chrX,65034713,-
PPP2R5B,chr11,64917553,+
GPHA2,chr11,64935893,-
MAJIN,chr11,64972108,-
GPX2,chr14,64942745,-
CDH11,chr16,65126112,-
RAB15,chr14,64972935,-
SPG21,chr15,64990310,-
ZNF117,chr7,65006687,-
FNTB,chr14,64986895,+
BATF2,chr11,64997018,-
SLC1A4,chr2,64988477,+
ERV3-1,chr7,65006743,-
MTFMT,chr15,65029639,-
MAX,chr14,65102695,-
GNA13,chr17,65056740,-
ARL2,chr11,65014160,+
ARL2-SNX15,chr11,65014182,+
SNX15,chr11,65027439,+
ZC3H12B,chrX,65034788,+
SAC3D1,chr11,65040901,+
NAALADL1,chr11,65058553,-
SLC51B,chr15,65045387,+
WIF1,chr12,65121305,-
RASL12,chr15,65076690,-
CEP68,chr2,65056354,+
CDCA5,chr11,65084047,-
RAB1A,chr2,65130106,-
KBTBD13,chr15,65076746,+
ZFPL1,chr11,65084222,+
TMEM262,chr11,65089375,-
VPS51,chr11,65089324,+
UBAP1L,chr15,65115200,-
RGS9,chr17,65100812,+
TM7SF2,chr11,65111845,+
ZNHIT2,chr11,65117701,-
PDCD7,chr15,65133808,-
FAU,chr11,65122177,-
SYVN1,chr11,65134532,-
MRPL49,chr11,65122183,+
AK4,chr1,65147549,+
CLPX,chr15,65185342,-
ADAMTS6,chr5,65481920,-
LEMD3,chr12,65169583,+
SPDYC,chr11,65170233,+
CAPN1,chr11,65180566,+
CILP,chr15,65211473,-
ACTR2,chr2,65227831,+
PARP16,chr15,65300618,-
DNAJC6,chr1,65248219,+
POLA2,chr11,65261913,+
ENSG00000285816,chr11,65261928,+
MSRB3,chr12,65278643,+
FOXD4L5,chr9,65285209,-
ZC3H11C,chr6,65301476,+
SPRED2,chr2,65432637,-
CDC42EP2,chr11,65314866,+
EPHA5,chr4,65670495,-
IGDCC3,chr15,65378002,-
DPF2,chr11,65333852,+
MAGI1,chr3,66038918,-
TIGD3,chr11,65354751,+
ZNF92,chr7,65373799,+
SLC25A45,chr11,65382674,-
IGDCC4,chr15,65422947,-
FRMD8,chr11,65386621,+
FUT8,chr14,65410592,+
LEPROT,chr1,65420587,+
LEPR,chr1,65420652,+
LAS1L,chrX,65534798,-
DPP8,chr15,65517704,-
CENPK,chr5,65563168,-
SCYL1,chr11,65525077,+
AXIN2,chr17,65561648,-
HACD3,chr15,65530418,+
ENSG00000266076,chr17,65641033,-
LTBP3,chr11,65558930,-
PPWD1,chr5,65563239,+
ZNRD2,chr11,65570460,+
FAM89B,chr11,65572349,+
EHBP1L1,chr11,65576046,+
INTS14,chr15,65611289,-
MSN,chrX,65588377,+
TRIM23,chr5,65625975,-
KCNK7,chr11,65595996,-
MAP3K11,chr11,65615382,-
ARMC1,chr8,65634217,-
SLC24A1,chr15,65611378,+
PCNX3,chr11,65615776,+
TRAPPC13,chr5,65624789,+
SHLD3,chr5,65625027,+
CEP112,chr17,66192133,-
SIPA1,chr11,65638101,+
MTFR1,chr8,65644734,+
RELA,chr11,65663090,-
DENND4A,chr15,65792293,-
SGTB,chr5,65723035,-
ZNG1E,chr9,65668805,+
KAT5,chr11,65711996,+
RNASEH2C,chr11,65720801,-
PDE7A,chr8,65842322,-
NLN,chr5,65722205,+
RAB11A,chr15,65726054,+
FOXD4L4,chr9,65737146,+
CDH7,chr18,65750252,+
AP5B1,chr11,65780976,-
OVOL1,chr11,65787063,+
PDE4B,chr1,65792514,+
CFL1,chr11,65862026,-
HMGA2,chr12,65824460,+
SNX32,chr11,65833943,+
MUS81,chr11,65857126,+
EFEMP2,chr11,65873592,-
VKORC1L1,chr7,65873074,+
CTSW,chr11,65879809,+
ERBIN,chr5,65883128,+
FIBP,chr11,65888531,-
CCDC85B,chr11,65890673,+
FOSL1,chr11,65900573,-
MEGF11,chr15,66253756,-
CTNNA3,chr10,67763637,-
C11orf68,chr11,65919062,-
DRAP1,chr11,65919274,+
TSGA10IP,chr11,65945480,+
GUSB,chr7,65982213,-
SART1,chr11,65961729,+
EIF1AD,chr11,66002176,-
BANF1,chr11,66002228,+
CST6,chr11,66012008,+
CATSPER1,chr11,66026479,-
DNAJC5B,chr8,66021553,+
VSIG4,chrX,66040125,-
GAL3ST3,chr11,66049161,-
SF3B2,chr11,66050729,+
PACS1,chr11,66070272,+
ASL,chr7,66075819,+
ENSG00000249319,chr7,66087761,+
CRCP,chr7,66114826,+
LLPH,chr12,66130750,-
ENSG00000228144,chr12,66169985,-
TRIM55,chr8,66126896,+
SLC25A26,chr3,66133610,+
TMBIM4,chr12,66170012,-
SREK1,chr5,66139971,+
HEPH,chrX,66162671,+
CRH,chr8,66178464,-
IRAK3,chr12,66189195,+
TPST1,chr7,66205317,+
APOH,chr17,66256525,-
KLC2,chr11,66257294,+
RAB1B,chr11,66268590,+
CNIH2,chr11,66278175,+
YIF1A,chr11,66289184,-
TMEM151A,chr11,66291894,+
DIS3L,chr15,66293217,+
HELB,chr12,66302493,+
PRKCA,chr17,66302613,+
PCDH9,chr13,67230445,-
CD248,chr11,66317044,-
RIN1,chr11,66336840,-
TIPIN,chr15,66386746,-
BRMS1,chr11,66345119,-
B4GAT1,chr11,66347629,-
GRIP1,chr12,67069162,-
SLC29A2,chr11,66372214,-
CDH5,chr16,66366691,+
LRIG1,chr3,66501263,-
MAP2K1,chr15,66386912,+
CCDC196,chr14,66411704,+
NPAS4,chr11,66421035,+
BEAN1,chr16,66427295,+
RRS1,chr8,66429014,+
ENSG00000285655,chr8,66430185,+
ENSG00000285791,chr8,66454097,+
ADHFE1,chr8,66432492,+
MEIS1,chr2,66433452,+
MRPL11,chr11,66466738,-
PELI3,chr11,66466327,+
ENSG00000260851,chr16,66513811,-
DPP3,chr11,66480013,+
SNAPC5,chr15,66497762,-
VXN,chr8,66492326,+
RPL4,chr15,66524532,-
CDH19,chr18,66604090,-
ZWILCH,chr15,66504959,+
GPHN,chr14,66507407,+
TK2,chr16,66552544,-
ENSG00000256349,chr11,66509079,+
BBS1,chr11,66510634,+
ZDHHC24,chr11,66546235,-
SGIP1,chr1,66533267,+
ACTN3,chr11,66546395,+
LCTL,chr15,66565998,-
CKLF,chr16,66552569,+
CKLF-CMTM1,chr16,66552613,+
MYBL1,chr8,66613294,-
CTSF,chr11,66568879,-
CMTM1,chr16,66566393,+
CMTM2,chr16,66579448,+
CCDC87,chr11,66593063,-
CCS,chr11,66593185,+
EDA2R,chrX,66639298,-
MAST4,chr5,66596380,+
CMTM3,chr16,66603874,+
CMTM4,chr16,66696743,-
RBM14,chr11,66616626,+
RBM14-RBM4,chr11,66616626,+
VCPIP1,chr8,66667231,-
KCTD7,chr7,66628881,+
ENSG00000284461,chr7,66628958,+
RBM4,chr11,66638667,+
RBM4B,chr11,66677887,-
C8orf44,chr8,66667475,+
C8orf44-SGK3,chr8,66667596,+
RABGEF1,chr7,66740733,+
SPTBN2,chr11,66744670,-
SMAD6,chr15,66702236,+
SGK3,chr8,66712734,+
DYNC1LI2,chr16,66751609,-
TOP6BL,chr11,66744451,+
DYNLT5,chr1,66752459,+
TERB1,chr16,66801611,-
INSL5,chr1,66801276,-
NAE1,chr16,66873256,-
DNAI4,chr1,66924856,-
CACNG5,chr17,66835117,+
RCE1,chr11,66843437,+
CA7,chr16,66844414,+
PC,chr11,66958386,-
ZNF658,chr9,66856426,+
LRFN4,chr11,66856647,+
MCMDC2,chr8,66870749,+
PDP2,chr16,66878589,+
CDH16,chr16,66918917,-
TMEM248,chr7,66921225,+
RRAD,chr16,66925535,-
MIER1,chr1,66924895,+
LRRTM3,chr10,66926036,+
ENSG00000289325,chr10,66926308,+
CIAO2B,chr16,66934402,-
CES2,chr16,66934444,+
TCF24,chr8,66962591,-
CES3,chr16,66961245,+
PPP1R42,chr8,67056604,-
CACNG4,chr17,66964707,+
C11orf86,chr11,66975277,+
SPATA31A3,chr9,66992550,-
SBDS,chr7,66995693,-
CES4A,chr16,66988589,+
TYW1,chr7,66995173,+
KBTBD8,chr3,66998307,+
SLC35D1,chr1,67054148,-
SYT12,chr11,67006778,+
CBFB,chr16,67028984,+
COPS5,chr8,67083783,-
CACNG1,chr17,67044554,+
RHOD,chr11,67056847,+
CSPP1,chr8,67062417,+
SMAD3,chr15,67063763,+
HELZ,chr17,67245989,-
C1orf141,chr1,67231853,-
PHAF1,chr16,67109941,+
KDM2A,chr11,67119263,+
IL23R,chr1,67138987,+
B3GNT9,chr16,67150998,-
TRADD,chr16,67159909,-
FBXL8,chr16,67159932,+
ENSG00000265690,chr16,67164141,+
HSF4,chr16,67164745,+
NOL3,chr16,67170154,+
ARFGEF1,chr8,67343781,-
MATCAP1,chr16,67184040,-
CD180,chr5,67196799,-
EXOC3L1,chr16,67190185,-
GARIN2,chr14,67189393,+
E2F4,chr16,67192155,+
ELMO3,chr16,67199111,+
AAGAB,chr15,67255195,-
FBXL9P,chr16,67226998,-
TMEM208,chr16,67227120,+
FHOD1,chr16,67247481,-
SLC9A5,chr16,67246915,+
PALS1,chr14,67240713,+
IQCH,chr15,67254786,+
GRK2,chr11,67266473,+
CAND1,chr12,67269358,+
SPDYE21,chr7,67276941,+
PLEKHG4,chr16,67277510,+
ANKRD13D,chr11,67289303,+
KCTD19,chr16,67326741,-
ATP6V1D,chr14,67360265,-
SSH3,chr11,67303478,+
IL12RB2,chr1,67307364,+
RAD9A,chr11,67317871,+
LRRC36,chr16,67326798,+
PSMD12,chr17,67366605,-
POLD4,chr11,67356972,-
ENSG00000256514,chr11,67373584,-
EIF2S1,chr14,67360328,+
SUCLG2,chr3,67654612,-
CLCF1,chr11,67374177,-
PITPNC1,chr17,67377281,+
PLEK2,chr14,67412167,-
TPPP3,chr16,67393518,-
ZDHHC1,chr16,67416477,-
ETAA1,chr2,67397324,+
PPP1CA,chr11,67421183,-
TBC1D10C,chr11,67403915,+
SERBP1,chr1,67430415,-
CARNS1,chr11,67414968,+
CPA6,chr8,67746360,-
RPS6KB2,chr11,67428494,+
HSD11B2,chr16,67430652,+
PTPRCAP,chr11,67437682,-
CORO1B,chr11,67443821,-
ATP6V0D1,chr16,67481157,-
TMEM229B,chr14,67533739,-
GPR152,chr11,67452729,-
CABP4,chr11,67452406,+
TMEM134,chr11,67469251,-
AIP,chr11,67468174,+
CENPC,chr4,67545503,-
AGRP,chr16,67483547,-
PITPNM1,chr11,67506263,-
CDK2AP2,chr11,67508162,-
DSEL,chr18,67516720,-
RIPOR1,chr16,67518418,+
CABP2,chr11,67524517,-
C15orf61,chr15,67521131,+
PLEKHH1,chr14,67533290,+
MAP2K5,chr15,67542703,+
AR,chrX,67544021,+
STAP1,chr4,67558727,+
CTCF,chr16,67562467,+
PIGH,chr14,67600268,-
GSTP1,chr11,67583742,+
NDUFV1,chr11,67605653,+
UBA6,chr4,67701155,-
ARG2,chr14,67619920,+
NUDT8,chr11,67629937,-
TBX10,chr11,67639763,-
ACY3,chr11,67650730,-
CARMIL2,chr16,67645004,+
VTI1B,chr14,67674632,-
DYRK2,chr12,67648338,+
ACD,chr16,67660810,-
ENSG00000258466,chr14,67690367,-
PARD6A,chr16,67660946,+
ALDH3B2,chr11,67681224,-
ENKD1,chr16,67666750,-
C16orf86,chr16,67666814,+
GFOD2,chr16,67719339,-
RDH11,chr14,67695764,-
GADD45A,chr1,67685201,+
GNG12,chr1,67833467,-
RDH12,chr14,67701886,+
NOL11,chr17,67717931,+
RANBP10,chr16,67806560,-
ZFYVE26,chr14,67816590,-
GNRHR,chr4,67754388,-
DNAJC12,chr10,67838188,-
TSNAXIP1,chr16,67806765,+
SKOR1,chr15,67819704,+
RAD51B,chr14,67819779,+
TMPRSS11D,chr4,67884002,-
BPTF,chr17,67825503,+
CENPT,chr16,67847811,-
ANKRD20A1,chr9,67832765,+
THAP11,chr16,67842320,+
NUTF2,chr16,67846882,+
EDC4,chr16,67873052,+
SIRT1,chr10,67884656,+
NRN1L,chr16,67884885,+
PSKH1,chr16,67893254,+
TMPRSS11A,chr4,67964140,-
HERC4,chr10,68075301,-
CTRL,chr16,67932113,-
ENSG00000261884,chr16,67936017,-
PSMB10,chr16,67936850,-
LCAT,chr16,67944120,-
SLC12A4,chr16,67969601,-
OPHN1,chrX,68433913,-
PREX2,chr8,67952046,+
DPEP3,chr16,67980549,-
DPEP2,chr16,68000564,-
DUS2,chr16,67987746,+
C17orf58,chr17,67996469,-
UNC93B1,chr11,68004982,-
TAFA1,chr3,68004247,+
ALDH3B1,chr11,68008578,+
DPEP2NB,chr16,68015911,-
DDX28,chr16,68023232,-
NDUFS8,chr11,68030665,+
KPNA2,chr17,68035636,+
TCIRG1,chr11,68039025,+
C1D,chr2,68110948,-
DIRAS3,chr1,68051717,-
CHKA,chr11,68121444,-
TMPRSS11F,chr4,68129869,-
PIAS1,chr15,68054315,+
NFATC3,chr16,68084751,+
MYPN,chr10,68087897,+
WLS,chr1,68233120,-
DNAAF10,chr2,68157546,-
ENSG00000273398,chr2,68261230,-
IFNG,chr12,68159740,-
KMT5B,chr11,68213852,-
PNO1,chr2,68157888,+
PPP3R1,chr2,68256237,-
ENSG00000260007,chr15,68229718,-
CALML4,chr15,68206079,-
IL26,chr12,68225810,-
AMZ2,chr17,68205481,+
CLN6,chr15,68257106,-
PIK3R1,chr5,68215741,+
TMPRSS11B,chr4,68245694,-
ESRP2,chr16,68238102,-
ATOH7,chr10,68232113,-
ZNG1C,chr9,68232003,+
PLA2G15,chr16,68245304,+
IL22,chr12,68253604,-
ARSG,chr17,68259182,+
C11orf24,chr11,68272001,-
SLC7A6,chr16,68264516,+
SLC16A6,chr17,68291267,-
MDM1,chr12,68332381,-
FEM1B,chr15,68277745,+
PBLD,chr10,68333049,-
CNRIP1,chr2,68320051,-
SLC7A6OS,chr16,68310946,-
ITGA11,chr15,68432163,-
FOXD4L3,chr9,68302867,+
YTHDC1,chr4,68350090,-
PRMT7,chr16,68310974,+
LRP5,chr11,68312591,+
PGM5,chr9,68328308,+
C8orf34,chr8,68330955,+
HNRNPH3,chr10,68331174,+
RUFY2,chr10,68407294,-
SMPD3,chr16,68448508,-
PLEK,chr2,68365282,+
DNA2,chr10,68471973,-
WIPI1,chr17,68457513,-
RPE65,chr1,68449954,-
TMPRSS11E,chr4,68447463,+
FBXO48,chr2,68467294,-
PPP6R3,chr11,68460731,+
APLF,chr2,68467585,+
DEPDC1,chr1,68497221,-
SLC25A16,chr10,68527523,-
YIPF6,chrX,68498562,+
PRKAR1A,chr17,68511780,+
ZFP90,chr16,68530090,+
FAM20A,chr17,68601367,-
TMEM252,chr9,68540883,-
UGT2B17,chr4,68576413,-
TET1,chr10,68560337,+
CORO2B,chr15,68578993,+
RAP1B,chr12,68610855,+
ADGRB3,chr6,68635282,+
ENSG00000288712,chr6,68635890,+
CDH3,chr16,68636189,+
PROKR1,chr2,68643579,+
UGT2B15,chr4,68670652,-
STARD8,chrX,68647666,+
TMX3,chr18,68715108,-
ARHGAP25,chr2,68679601,+
GAL,chr11,68683779,+
NUP107,chr12,68686951,+
PIP5K1B,chr9,68705240,+
TESMIN,chr11,68751520,-
CCDC102B,chr18,68715209,+
CCAR1,chr10,68721012,+
TAFA4,chr3,68953297,-
CDH1,chr16,68737292,+
SLC35E3,chr12,68746135,+
CPT1A,chr11,68844410,-
ANP32A,chr15,68820895,-
PABIR1,chr9,68780065,+
ZFP36L1,chr14,68796253,-
MDM2,chr12,68808177,+
UGT2B10,chr4,68815994,+
SPESP1,chr15,68818221,+
STOX1,chr10,68827531,+
EFNB1,chrX,68829021,+
CPM,chr12,68971570,-
TANGO6,chr16,68843531,+
BMP10,chr2,68871397,-
ABCA8,chr17,68955392,-
ACTN1,chr14,68979440,-
MRPL21,chr11,68903832,-
DDX50,chr10,68901315,+
IGHMBP2,chr11,68903863,+
UGT2A3,chr4,68951804,-
SPESP1-NOX5,chr15,68930504,+
GKN2,chr2,68952893,-
DDX21,chr10,68956135,+
ABCA9,chr17,69060949,-
GKN1,chr2,68974573,+
EOGT,chr3,69013684,-
MRGPRD,chr11,68980986,-
KIFBP,chr10,68988803,+
MRGPRF,chr11,69013246,-
PRKACG,chr9,69014113,-
ANTXR1,chr2,69013179,+
NOX5,chr15,69014695,+
TMF1,chr3,69052339,-
ENSG00000285130,chr9,69035750,+
FXN,chr9,69035752,+
TPCN2,chr11,69048932,+
DCAF5,chr14,69153119,-
UGT2B7,chr4,69051363,+
UBA3,chr3,69080408,-
ENSG00000287725,chr11,69072915,+
ABCA6,chr17,69141895,-
ARL6IP5,chr3,69084937,+
SRGN,chr10,69088103,+
SLC30A5,chr5,69093991,+
HAS3,chr16,69105653,+
LMOD3,chr3,69123032,-
CHTF8,chr16,69132588,-
DERPC,chr16,69132588,-
TJP2,chr9,69121264,+
VPS26A,chr10,69123512,+
UTP4,chr16,69131291,+
ABCA10,chr17,69244846,-
SMIM38,chr11,69155478,+
GLCE,chr15,69160584,+
PJA1,chrX,69165521,-
CCNB1,chr5,69167135,+
FRMD4B,chr3,69542583,-
SUPV3L1,chr10,69180234,+
SNTB2,chr16,69187164,+
CENPH,chr5,69189574,+
EXD2,chr14,69191498,+
UGT2B11,chr4,69214748,-
KGD4,chr5,69217760,+
HKDC1,chr10,69220332,+
CDK7,chr5,69234795,+
CPSF6,chr12,69239569,+
ABCA5,chr17,69327244,-
GALNT16,chr14,69259277,+
HK1,chr10,69269984,+
CCDC125,chr5,69332809,-
UGT2B28,chr4,69280475,+
MYEOV,chr11,69294151,+
PAQR5,chr15,69298912,+
ENSG00000260914,chr16,69299682,+
VPS4A,chr16,69311350,+
GFPT1,chr2,69387248,-
COG8,chr16,69339583,-
ENTREP1,chr9,69324567,+
PDF,chr16,69330588,-
ENSG00000272617,chr16,69334871,-
ENSG00000260371,chr16,69356306,-
ENSG00000259900,chr16,69351730,-
NIP7,chr16,69339568,+
TMED6,chr16,69351786,-
LYZ,chr12,69348381,+
AK6,chr5,69370013,-
TERF2,chr16,69408571,-
YEATS4,chr12,69359710,+
TAF9,chr5,69370013,-
RAD17,chr5,69369293,+
ERH,chr14,69398299,-
NFU1,chr2,69437628,-
SLC39A9,chr14,69398015,+
CYB5B,chr16,69398402,+
DOK6,chr18,69400888,+
TACR2,chr10,69416918,-
KIF23,chr15,69414246,+
MAP2K6,chr17,69414697,+
MARVELD2,chr5,69415065,+
APBA1,chr9,69672371,-
TSPAN15,chr10,69451465,+
RPLP1,chr15,69452814,+
AAK1,chr2,69674349,-
SULF1,chr8,69466624,+
FRS2,chr12,69470349,+
UGT2B4,chr4,69526014,-
PLEKHD1,chr14,69484728,+
OCLN,chr5,69492292,+
NALF2,chrX,69504326,+
GTF2H2C,chr5,69560191,+
NFAT5,chr16,69565966,+
LRRC7,chr1,69567922,+
CCDC177,chr14,69574871,-
NEUROG3,chr10,69573422,-
CCT2,chr12,69585459,+
UGT2A2,chr4,69639642,-
UGT2A1,chr4,69653249,-
AUTS2,chr7,69598296,+
LRRC10,chr12,69610907,-
SUSD6,chr14,69611596,+
EDA,chrX,69616067,+
FAM241B,chr10,69630247,+
ENSG00000250138,chr5,69632080,+
CCND1,chr11,69641156,+
BEST3,chr12,69699476,-
ANXA4,chr2,69644425,+
LTO1,chr11,69675416,-
SLCO5A1,chr8,69834978,-
LMBRD1,chr6,69867236,-
FGF19,chr11,69704022,-
KLHL1,chr13,70108493,-
NQO1,chr16,69726668,-
PTAR1,chr9,69760011,-
SULT1B1,chr4,69787961,-
SRSF5,chr14,69726900,+
RAB3IP,chr12,69738860,+
MITF,chr3,69739456,+
NOB1,chr16,69754926,-
WWP2,chr16,69762328,+
FGF4,chr11,69775341,-
SLC10A1,chr14,69797241,-
ENSG00000258052,chr12,69801669,+
COL13A1,chr10,69801880,+
FGF3,chr11,69819416,-
ENSG00000284695,chr4,69847786,-
CFAP95,chr9,69820817,+
MYRFL,chr12,69825227,+
GMCL1,chr2,69829660,+
CD226,chr18,69961803,-
SULT1E1,chr4,69860145,-
SMOC1,chr14,69854131,+
COL19A1,chr6,69866556,+
SNRNP27,chr2,69893956,+
MXD1,chr2,69897688,+
ENSG00000251158,chr5,69903085,-
CSN1S1,chr4,69931068,+
CLEC18A,chr16,69950705,+
CSN2,chr4,69965728,-
ASPRV1,chr2,69961631,-
ENSG00000293615,chr2,70087320,-
ANO1,chr11,69985907,+
STATH,chr4,69995966,+
RTTN,chr18,70205687,-
SERF1B,chr5,70025251,+
HTN3,chr4,70028455,+
AWAT2,chrX,70049938,-
MAMDC2,chr9,70043848,+
SLC8A3,chr14,70189480,-
TLE3,chr15,70098176,-
SMN2,chr5,70049638,+
HTN1,chr4,70050438,+
PRDM14,chr8,70071693,-
MACROH2A2,chr10,70052588,+
KCNJ16,chr17,70053429,+
OTUD6A,chrX,70062457,+
PCBP1,chr2,70087477,+
AIFM2,chr10,70132934,-
NCOA2,chr8,70403808,-
PDPR,chr16,70114332,+
IGBP1,chrX,70133447,+
